1	1	108	0.02
2	2	97	0.015
3	3	180	0.02
4	4	74	0.0135
5	5	71	0.0135
6	6	136	0.0135
7	7	125	0.0135
8	8	171	0.0135
9	9	175	0.0135
10	10	195	0.0135
11	11	0	0.0135
12	12	0	0.0135
13	13	745	0.0135
14	14	80.4	0.0135
15	15	131.4	0.0135
16	16	100	0.0135
17	17	0	0.0135
18	18	333	0.0135
19	19	75.1	0.0135
20	20	53.1	0.0135
21	21	0	0.0135
22	22	0	0.0135
23	23	0	0.0135
24	24	0	0.0135
25	25	108	0.0135
26	26	97	0.0135
27	27	180	0.0135
28	28	74	0.0135
29	29	71	0.0135
30	30	136	0.0135
31	31	125	0.0135
32	32	171	0.0135
33	33	175	0.0135
34	34	195	0.0135
35	35	0	0.0135
36	36	0	0.0135
37	37	745	0.0135
38	38	80.4	0.0135
39	39	131.4	0.0135
40	40	100	0.0135
41	41	0	0.0135
42	42	333	0.0135
43	43	75.1	0.0135
44	44	53.1	0.0135
45	45	0	0.0135
46	46	0	0.0135
47	47	0	0.0135
48	48	0	0.0135
49	49	108	0.0135
50	50	97	0.0135
51	51	180	0.0135
52	52	74	0.0135
53	53	71	0.0135
54	54	136	0.0135
55	55	125	0.0135
56	56	171	0.0135
57	57	175	0.0135
58	58	195	0.0135
59	59	0	0.0135
60	60	0	0.0135
61	61	745	0.0135
62	62	80.4	0.0135
63	63	131.4	0.0135
64	64	100	0.0135
65	65	0	0.0135
66	66	333	0.0135
67	67	75.1	0.0135
68	68	53.1	0.0135
69	69	0	0.0135
70	70	0	0.0135
71	71	0	0.0135
72	72	0	0.0135
73	73	0	0.0135
