1	1	1	20	0	163.02
2	2	1	20	0	163.02
3	3	1	76	0	19.64
4	4	1	76	0	19.64
5	5	2	20	0	163.02
6	6	2	20	0	163.02
7	7	2	76	0	19.64
8	8	2	76	0	19.64
9	9	7	100	0	75.64
10	10	7	100	0	75.64
11	11	7	100	0	75.64
12	12	13	197	0	74.75
13	13	13	197	0	74.75
14	14	13	197	0	74.75
15	15	14	0	0	0
16	16	15	12	0	94.74
17	17	15	12	0	94.74
18	18	15	12	0	94.74
19	19	15	12	0	94.74
20	20	15	12	0	94.74
21	21	15	155	0	15.46
22	22	16	155	0	15.46
23	23	18	400	0	5.46
24	24	21	400	0	5.46
25	25	22	50	0	0
26	26	22	50	0	0
27	27	22	50	0	0
28	28	22	50	0	0
29	29	22	50	0	0
30	30	22	50	0	0
31	31	23	155	0	15.46
32	32	23	155	0	15.46
33	33	23	350	0	15.89
34	34	25	20	0	163.02
35	35	25	20	0	163.02
36	36	25	76	0	19.64
37	37	25	76	0	19.64
38	38	26	20	0	163.02
39	39	26	20	0	163.02
40	40	26	76	0	19.64
41	41	26	76	0	19.64
42	42	31	100	0	75.64
43	43	31	100	0	75.64
44	44	31	100	0	75.64
45	45	37	197	0	74.75
46	46	37	197	0	74.75
47	47	37	197	0	74.75
48	48	38	0	0	0
49	49	39	12	0	94.74
50	50	39	12	0	94.74
51	51	39	12	0	94.74
52	52	39	12	0	94.74
53	53	39	12	0	94.74
54	54	39	155	0	15.46
55	55	40	155	0	15.46
56	56	42	400	0	5.46
57	57	45	400	0	5.46
58	58	46	50	0	0
59	59	46	50	0	0
60	60	46	50	0	0
61	61	46	50	0	0
62	62	46	50	0	0
63	63	46	50	0	0
64	64	47	155	0	15.46
65	65	47	155	0	15.46
66	66	47	350	0	15.89
67	67	49	20	0	163.02
68	68	49	20	0	163.02
69	69	49	76	0	19.64
70	70	49	76	0	19.64
71	71	50	20	0	163.02
72	72	50	20	0	163.02
73	73	50	76	0	19.64
74	74	50	76	0	19.64
75	75	55	100	0	75.64
76	76	55	100	0	75.64
77	77	55	100	0	75.64
78	78	61	197	0	74.75
79	79	61	197	0	74.75
80	80	61	197	0	74.75
81	81	62	0	0	0
82	82	63	12	0	94.74
83	83	63	12	0	94.74
84	84	63	12	0	94.74
85	85	63	12	0	94.74
86	86	63	12	0	94.74
87	87	63	155	0	15.46
88	88	64	155	0	15.46
89	89	66	400	0	5.46
90	90	69	400	0	5.46
91	91	70	50	0	0
92	92	70	50	0	0
93	93	70	50	0	0
94	94	70	50	0	0
95	95	70	50	0	0
96	96	70	50	0	0
97	97	71	155	0	15.46
98	98	71	155	0	15.46
99	99	71	350	0	15.89
