1	1	1	2	0.003	0.014	0.461	175
2	2	1	3	0.055	0.211	0.057	175
3	3	1	5	0.022	0.085	0.023	175
4	4	2	4	0.033	0.127	0.034	175
5	5	2	6	0.05	0.192	0.052	175
6	6	3	9	0.031	0.119	0.032	175
7	7	3	24	0.002	0.084	0	800
8	8	4	9	0.027	0.104	0.028	175
9	9	5	10	0.023	0.088	0.024	175
10	10	6	10	0.014	0.061	2.459	175
11	11	7	8	0.016	0.061	0.017	175
12	12	7	27	0.042	0.161	0.044	175
13	13	8	9	0.043	0.165	0.045	175
14	14	8	10	0.043	0.165	0.045	175
15	15	9	11	0.002	0.084	0	800
16	16	9	12	0.002	0.084	0	800
17	17	10	11	0.002	0.084	0	800
18	18	10	12	0.002	0.084	0	800
19	19	11	13	0.006	0.048	0.1	500
20	20	11	14	0.005	0.042	0.088	500
21	21	12	13	0.006	0.048	0.1	500
22	22	12	23	0.012	0.097	0.203	500
23	23	13	23	0.011	0.087	0.182	500
24	24	13	39	0.01	0.075	0.158	500
25	25	14	16	0.005	0.059	0.082	500
26	26	15	16	0.002	0.017	0.036	500
27	27	15	21	0.006	0.049	0.103	500
28	28	15	21	0.006	0.049	0.103	500
29	29	15	24	0.007	0.052	0.109	500
30	30	16	17	0.003	0.026	0.055	500
31	31	16	19	0.003	0.023	0.049	500
32	32	17	18	0.002	0.014	0.03	500
33	33	17	22	0.014	0.105	0.221	500
34	34	18	21	0.003	0.026	0.055	500
35	35	18	21	0.003	0.026	0.055	500
36	36	19	20	0.005	0.04	0.083	500
37	37	19	20	0.005	0.04	0.083	500
38	38	20	23	0.003	0.022	0.046	500
39	39	20	23	0.003	0.022	0.046	500
40	40	21	22	0.009	0.068	0.142	500
41	41	23	41	0.01	0.074	0.155	500
42	42	25	26	0.003	0.014	0.461	175
43	43	25	27	0.055	0.211	0.057	175
44	44	25	29	0.022	0.085	0.023	175
45	45	26	28	0.033	0.127	0.034	175
46	46	26	30	0.05	0.192	0.052	175
47	47	27	33	0.031	0.119	0.032	175
48	48	27	48	0.002	0.084	0	800
49	49	28	33	0.027	0.104	0.028	175
50	50	29	34	0.023	0.088	0.024	175
51	51	30	34	0.014	0.061	2.459	175
52	52	31	32	0.016	0.061	0.017	175
53	53	32	33	0.043	0.165	0.045	175
54	54	32	34	0.043	0.165	0.045	175
55	55	33	35	0.002	0.084	0	800
56	56	33	36	0.002	0.084	0	800
57	57	34	35	0.002	0.084	0	800
58	58	34	36	0.002	0.084	0	800
59	59	35	37	0.006	0.048	0.1	500
60	60	35	38	0.005	0.042	0.088	500
61	61	36	37	0.006	0.048	0.1	500
62	62	36	47	0.012	0.097	0.203	500
63	63	37	47	0.011	0.087	0.182	500
64	64	38	40	0.005	0.059	0.082	500
65	65	39	40	0.002	0.017	0.036	500
66	66	39	45	0.006	0.049	0.103	500
67	67	39	45	0.006	0.049	0.103	500
68	68	39	48	0.007	0.052	0.109	500
69	69	40	41	0.003	0.026	0.055	500
70	70	40	43	0.003	0.023	0.049	500
71	71	41	42	0.002	0.014	0.03	500
72	72	41	46	0.014	0.105	0.221	500
73	73	42	45	0.003	0.026	0.055	500
74	74	42	45	0.003	0.026	0.055	500
75	75	43	44	0.005	0.04	0.083	500
76	76	43	44	0.005	0.04	0.083	500
77	77	44	47	0.003	0.022	0.046	500
78	78	44	47	0.003	0.022	0.046	500
79	79	45	46	0.009	0.068	0.142	500
80	80	49	50	0.003	0.014	0.461	175
81	81	49	51	0.055	0.211	0.057	175
82	82	49	53	0.022	0.085	0.023	175
83	83	50	52	0.033	0.127	0.034	175
84	84	50	54	0.05	0.192	0.052	175
85	85	51	57	0.031	0.119	0.032	175
86	86	51	72	0.002	0.084	0	800
87	87	52	57	0.027	0.104	0.028	175
88	88	53	58	0.023	0.088	0.024	175
89	89	54	58	0.014	0.061	2.459	175
90	90	55	56	0.016	0.061	0.017	175
91	91	56	57	0.043	0.165	0.045	175
92	92	56	58	0.043	0.165	0.045	175
93	93	57	59	0.002	0.084	0	800
94	94	57	60	0.002	0.084	0	800
95	95	58	59	0.002	0.084	0	800
96	96	58	60	0.002	0.084	0	800
97	97	59	61	0.006	0.048	0.1	500
98	98	59	62	0.005	0.042	0.088	500
99	99	60	61	0.006	0.048	0.1	500
100	100	60	71	0.012	0.097	0.203	500
101	101	61	71	0.011	0.087	0.182	500
102	102	62	64	0.005	0.059	0.082	500
103	103	63	64	0.002	0.017	0.036	500
104	104	63	69	0.006	0.049	0.103	500
105	105	63	69	0.006	0.049	0.103	500
106	106	63	72	0.007	0.052	0.109	500
107	107	64	65	0.003	0.026	0.055	500
108	108	64	67	0.003	0.023	0.049	500
109	109	65	66	0.002	0.014	0.03	500
110	110	65	70	0.014	0.105	0.221	500
111	111	66	69	0.003	0.026	0.055	500
112	112	66	69	0.003	0.026	0.055	500
113	113	67	68	0.005	0.04	0.083	500
114	114	67	68	0.005	0.04	0.083	500
115	115	68	71	0.003	0.022	0.046	500
116	116	68	71	0.003	0.022	0.046	500
117	117	69	70	0.009	0.068	0.142	500
118	118	73	21	0.012	0.097	0.203	500
119	119	66	47	0.013	0.104	0.218	500
120	120	71	73	0	0.009	0	1444
